user_id,event_id,rating
1,18,4
1,21,5
1,11,5
1,4,3
1,20,5
2,26,3
2,22,5
2,24,5
2,18,5
2,2,5
2,29,5
3,1,5
3,20,3
3,12,4
3,29,3
3,11,5
4,27,4
4,6,5
4,7,5
5,12,3
5,25,4
5,22,5
5,30,5
5,1,5
5,6,4
5,3,4
6,2,4
6,23,4
6,30,4
6,3,5
6,12,3
6,8,3
7,4,4
7,3,5
7,7,4
7,26,5
7,10,4
8,28,4
8,20,5
8,17,3
9,17,3
9,30,3
9,28,3
9,4,4
9,29,3
9,24,3
9,26,5
10,12,3
10,19,3
10,14,5
11,8,3
11,2,4
11,7,4
11,19,5
11,25,4
11,10,3
12,30,5
12,5,5
12,28,4
12,13,5
12,6,3
13,7,5
13,11,4
13,30,4
13,25,5
13,5,3
14,30,5
14,27,5
14,29,4
14,11,4
14,21,4
15,13,4
15,22,3
15,14,3
15,12,3
16,11,3
16,30,3
16,24,3
16,29,3
16,27,5
16,19,4
16,3,5
17,28,5
17,12,3
17,26,4
17,6,3
17,11,5
17,29,5
17,24,5
18,25,4
18,18,3
18,14,4
18,13,5
18,20,4
19,21,5
19,25,3
19,5,5
19,27,4
19,24,3
19,22,3
19,26,4
20,4,5
20,24,5
20,16,3
21,22,5
21,11,5
21,27,5
21,23,4
21,9,5
21,2,5
22,17,4
22,13,4
22,20,4
22,4,3
23,9,4
23,12,5
23,4,4
24,7,3
24,10,3
24,27,4
24,30,5
24,23,4
24,20,3
24,15,5
25,21,5
25,30,4
25,25,4
25,27,5
25,28,4
25,24,4
25,23,5
26,2,5
26,27,4
26,16,3
27,30,4
27,19,3
27,4,5
27,5,4
28,29,3
28,9,5
28,14,4
29,20,4
29,13,4
29,18,5
30,5,3
30,26,3
30,19,5
31,24,3
31,2,5
31,20,3
32,23,3
32,9,4
32,24,4
32,17,5
32,4,4
32,12,4
33,22,3
33,25,5
33,4,5
33,24,5
33,3,3
33,28,5
33,5,5
34,30,4
34,29,3
34,5,3
34,7,4
34,27,5
35,20,4
35,6,4
35,24,4
35,11,4
35,25,5
35,18,4
35,19,4
36,25,3
36,14,3
36,1,5
36,20,5
37,11,3
37,20,5
37,16,3
37,7,5
37,2,4
37,21,3
37,23,4
38,20,3
38,10,4
38,21,5
38,18,4
39,1,4
39,5,4
39,2,4
39,9,4
39,12,4
39,10,3
40,15,5
40,6,4
40,3,4
40,1,3
40,19,3
40,28,3
41,29,3
41,13,3
41,8,5
41,25,3
41,9,4
41,3,5
41,18,3
42,30,3
42,18,3
42,9,5
42,17,5
43,8,4
43,15,3
43,2,3
43,27,3
43,19,3
43,14,5
43,25,5
44,1,5
44,27,5
44,30,5
44,26,3
45,19,4
45,22,3
45,28,3
45,26,3
45,9,5
45,12,3
45,7,4
46,26,4
46,21,4
46,5,3
46,24,3
46,6,3
47,27,3
47,2,3
47,11,5
47,28,3
47,23,5
47,10,4
47,21,3
48,2,3
48,4,4
48,24,3
48,11,5
48,23,3
48,21,5
48,10,4
49,30,5
49,9,3
49,8,3
49,17,5
50,10,3
50,5,5
50,8,4
50,13,3
51,24,4
51,1,5
51,14,5
51,10,4
52,20,5
52,4,3
52,27,4
52,21,3
52,23,4
53,6,3
53,12,4
53,1,3
53,20,4
53,14,3
53,18,4
54,22,4
54,23,5
54,20,3
54,7,3
55,5,3
55,9,5
55,13,3
55,16,4
55,26,4
56,30,4
56,4,4
56,22,4
56,7,3
56,15,3
57,10,5
57,17,5
57,19,4
58,4,3
58,3,5
58,6,3
58,8,5
58,2,3
58,23,4
58,16,4
59,24,4
59,11,4
59,23,3
59,28,4
59,29,5
59,12,5
60,27,4
60,13,5
60,21,5
60,29,5
60,2,3
60,4,4
61,4,5
61,25,4
61,2,3
61,30,3
61,1,5
61,24,4
62,18,4
62,27,5
62,23,4
62,4,4
62,30,3
62,26,4
62,15,5
63,9,5
63,15,5
63,11,3
63,4,3
63,23,3
63,18,3
63,30,5
64,28,3
64,10,5
64,16,4
64,25,5
65,2,5
65,26,4
65,18,5
65,22,4
65,28,4
65,16,3
66,2,4
66,17,5
66,12,4
66,5,5
67,3,3
67,12,5
67,13,3
68,15,4
68,4,4
68,23,3
68,5,5
68,19,5
68,17,3
68,30,3
69,12,4
69,11,4
69,19,3
69,14,4
70,8,3
70,2,3
70,26,4
70,4,5
70,21,5
70,30,3
71,3,4
71,13,4
71,22,3
72,2,5
72,4,4
72,9,4
72,6,5
72,8,4
72,10,3
73,14,3
73,24,4
73,6,5
74,16,5
74,20,5
74,21,3
74,14,5
74,3,5
75,30,3
75,26,5
75,19,5
75,24,4
76,3,3
76,12,5
76,9,5
76,15,3
77,23,5
77,15,5
77,6,5
78,14,4
78,12,5
78,22,5
78,9,5
78,10,5
79,8,4
79,4,3
79,26,3
80,3,4
80,26,4
80,25,4
80,13,3
81,12,3
81,29,5
81,16,5
82,26,3
82,8,3
82,12,5
82,14,3
82,25,3
83,18,3
83,30,3
83,4,4
83,24,3
83,22,5
83,7,5
83,5,4
84,11,3
84,24,3
84,19,3
85,18,4
85,28,3
85,21,4
85,7,4
85,13,5
85,17,5
86,16,5
86,1,5
86,28,5
87,10,5
87,3,3
87,22,3
87,20,4
87,1,4
88,24,4
88,30,5
88,22,4
88,19,3
88,26,3
89,11,3
89,17,3
89,4,3
90,23,4
90,28,3
90,22,4
90,11,4
90,17,4
90,27,5
91,24,3
91,6,5
91,29,4
92,24,5
92,9,5
92,16,4
92,14,3
93,1,3
93,12,3
93,26,4
94,20,3
94,9,5
94,10,5
95,18,3
95,11,4
95,17,5
95,28,5
96,1,3
96,14,3
96,25,5
96,3,3
96,27,4
96,15,3
97,23,3
97,18,5
97,29,3
97,30,3
97,11,3
97,20,5
98,30,5
98,13,5
98,14,3
98,29,3
98,17,3
98,25,4
98,27,3
99,19,4
99,8,3
99,18,3
99,15,4
99,25,3
100,18,4
100,16,4
100,3,5
100,14,4
100,5,4
100,17,3
101,2,5
101,9,5
101,3,3
102,14,4
102,26,4
102,7,3
102,29,4
102,1,5
103,1,5
103,20,4
103,3,5
103,6,3
104,28,3
104,4,4
104,6,4
104,5,5
104,19,5
105,30,4
105,15,5
105,12,4
105,27,3
105,28,5
105,10,4
105,17,3
106,24,5
106,27,5
106,9,5
106,13,4
107,2,4
107,21,3
107,5,5
107,19,4
108,23,3
108,22,4
108,2,3
108,5,3
108,26,3
109,27,4
109,23,3
109,10,4
110,30,5
110,7,5
110,6,3
110,11,5
110,26,5
111,5,3
111,17,3
111,24,4
111,8,5
111,12,5
111,4,4
111,18,3
112,3,5
112,4,5
112,18,4
112,19,4
112,24,5
112,1,3
113,16,5
113,23,5
113,19,4
114,18,3
114,8,4
114,4,3
114,19,3
114,29,5
114,16,5
114,17,5
115,30,4
115,29,4
115,3,3
115,12,3
116,21,4
116,7,5
116,10,5
116,20,5
117,23,3
117,30,5
117,1,3
117,10,4
117,27,3
117,20,3
117,28,5
118,15,5
118,9,5
118,2,5
118,24,4
118,29,4
118,3,5
119,5,4
119,22,3
119,12,5
119,15,5
119,20,5
120,6,4
120,20,3
120,9,3
121,2,4
121,4,5
121,16,4
121,26,3
121,3,5
121,29,4
122,12,3
122,19,4
122,21,4
122,2,3
122,27,5
122,30,5
123,30,3
123,21,3
123,16,3
123,26,3
123,20,3
123,7,4
124,26,5
124,24,5
124,21,5
124,29,4
125,19,5
125,4,3
125,11,4
125,23,3
126,24,4
126,11,3
126,3,5
127,30,4
127,9,3
127,21,3
127,16,4
127,27,3
127,6,3
127,12,3
128,11,4
128,26,3
128,13,4
128,22,5
128,6,4
128,5,3
128,28,4
129,12,4
129,28,5
129,11,5
129,2,5
129,21,5
130,28,3
130,21,4
130,29,4
130,5,5
130,19,5
130,22,5
130,11,5
131,27,4
131,18,4
131,24,5
132,30,4
132,14,4
132,13,4
132,19,3
132,5,5
132,17,5
132,11,3
133,27,4
133,4,3
133,9,4
134,6,3
134,10,4
134,28,4
134,17,5
134,16,3
134,3,3
134,15,5
135,24,4
135,11,3
135,26,3
135,23,3
136,18,3
136,29,4
136,6,5
137,23,5
137,11,5
137,3,4
138,2,4
138,25,5
138,1,4
138,9,5
138,5,3
139,22,3
139,4,3
139,8,5
139,9,4
139,26,4
139,5,4
140,2,3
140,4,4
140,1,5
140,15,4
141,12,4
141,19,5
141,30,3
142,13,3
142,29,3
142,1,4
142,7,3
142,25,5
142,17,5
143,27,4
143,14,3
143,13,4
143,16,5
144,16,4
144,18,3
144,30,3
144,21,5
144,25,4
144,12,3
145,13,3
145,24,5
145,16,3
145,21,4
145,19,5
145,25,3
145,28,3
146,23,4
146,5,3
146,4,5
146,29,4
146,3,3
147,22,3
147,27,4
147,4,4
147,9,5
147,10,5
147,26,4
148,29,5
148,4,3
148,22,5
148,9,5
148,7,5
149,25,3
149,21,5
149,23,4
149,6,4
150,16,4
150,5,5
150,17,3
150,26,3
150,1,5
150,2,4
150,8,5
151,12,5
151,3,5
151,4,5
151,27,5
151,18,4
151,26,5
152,21,3
152,7,5
152,13,5
152,4,4
152,27,3
153,20,5
153,30,4
153,25,5
153,9,5
153,8,5
153,27,3
154,26,4
154,20,4
154,1,5
154,14,3
155,19,5
155,30,5
155,15,3
155,3,5
155,29,5
155,9,3
155,17,5
156,7,4
156,23,3
156,26,5
156,19,4
157,22,5
157,25,5
157,23,4
157,30,5
158,30,4
158,26,3
158,2,4
158,29,3
158,21,3
158,9,5
158,20,4
159,24,3
159,28,3
159,16,5
159,21,4
159,25,4
159,30,5
160,1,4
160,6,3
160,26,4
160,2,5
160,11,4
160,7,3
160,14,3
161,19,3
161,2,5
161,22,5
161,17,5
162,7,5
162,21,3
162,11,4
162,24,3
162,27,3
162,15,4
163,11,3
163,9,3
163,29,3
163,10,4
163,21,5
163,25,4
164,15,5
164,6,4
164,10,3
164,5,4
165,1,3
165,19,4
165,3,3
165,2,3
166,4,5
166,26,3
166,7,3
166,21,4
166,20,5
166,19,3
167,28,3
167,7,3
167,11,3
167,27,3
167,25,5
167,24,5
167,19,3
168,26,5
168,16,3
168,13,3
168,9,4
168,18,5
169,2,5
169,24,3
169,23,5
169,4,5
170,6,4
170,20,4
170,30,3
170,11,4
170,22,3
171,12,5
171,22,5
171,18,4
171,10,4
171,23,5
171,2,3
171,20,4
172,28,4
172,14,5
172,7,4
173,25,5
173,17,5
173,15,4
173,13,4
173,18,4
173,29,4
174,22,4
174,23,5
174,16,5
175,14,3
175,15,3
175,28,4
175,16,5
175,26,5
175,27,4
175,7,5
176,24,5
176,27,4
176,30,4
176,14,5
176,5,3
176,6,5
176,3,3
177,14,5
177,5,3
177,24,3
177,6,4
177,26,5
177,12,3
178,4,4
178,22,5
178,26,4
179,19,5
179,14,5
179,8,5
179,6,4
179,28,4
180,3,4
180,6,5
180,17,4
181,3,5
181,12,4
181,14,3
182,12,5
182,14,4
182,13,4
182,11,4
183,28,3
183,7,4
183,22,5
183,20,5
183,13,4
184,11,4
184,24,4
184,7,4
185,15,4
185,13,3
185,4,4
186,8,3
186,9,3
186,4,4
186,20,3
187,25,5
187,10,4
187,7,4
187,1,3
188,11,5
188,2,3
188,17,5
188,19,5
188,24,5
189,26,4
189,4,3
189,11,3
189,8,4
189,18,5
189,2,3
189,28,3
190,20,3
190,8,4
190,1,3
190,27,4
190,23,3
190,15,4
190,30,5
191,7,4
191,9,5
191,23,5
191,11,3
191,10,3
191,19,5
192,4,3
192,19,3
192,3,5
193,10,5
193,26,5
193,19,5
193,4,5
193,11,3
194,15,4
194,26,4
194,25,4
194,13,4
195,7,4
195,18,5
195,26,4
195,24,3
195,1,3
196,7,4
196,12,4
196,29,5
196,17,3
197,6,5
197,24,3
197,7,3
198,24,4
198,17,4
198,22,5
198,23,4
198,12,5
199,30,3
199,28,4
199,12,5
199,15,5
200,26,4
200,20,4
200,9,3
